Schema_AT_ID,Table_Name,Table_ID,Field_ID,Field_Name,Field_Type,Is_Linked_Field,Linked_Table_ID,Linked_Table
recCd1oPo0C0Ybqe0,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld9dSclPYDL9raX5,School_Item_Comment_Key,multilineText,,,
recl4xdEm5nqlLF4Y,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldZzosGFZolvK1vz,School_Item_Report_AT_ID,multipleLookupValues,,,
recfdWWrg7Ze449Ee,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldssXZLXxOCfCqTJ,School_Item_Results_Key,formula,,,
recV9XaYrLWOKGDf7,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldYJsh7gkpweX4dn,School_Item_Results_Link,multipleRecordLinks,checked,tblwEdi9EQhCsixNd,Survey_School_Item_Results
recr650kBKGy8dqoa,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld1ZxJ5ZVS4kutlq,School_Link,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
recSSKNEJib0L7Rwr,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldnuttFK743A5Kkq,School_Link_Lookup,singleLineText,,,
recnvbaptV0HdJUVq,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldGCbd2bjj1GsMZb,Student_Comment_AT_ID,multilineText,,,
recIig4CTe8va2tQm,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fld7LbexysRT086cc,Survey_Admin,singleSelect,,,
recpvjcH8rcj4C181,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldVoRfvl5fuWW5Qp,Survey_Administrations (from School_Link),multipleLookupValues,,,
recZPFwLt0QA0YuXj,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldDtG0WYHRZYzoeE,Survey_Item,singleLineText,,,
recWxT28VNn00I8Qv,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldsUOXgtF3VzDJdK,Survey_Item_Link,multipleRecordLinks,checked,tbl9lguOzNO8VjMvY,Survey_Items
recx4ei7s4s5x9A6f,Survey_Item_Comments,tbla8CWwKDBuQwmtq,fldq6XzGEU9bnmq1m,Survey_Item_School_Results (from School_Link),multipleLookupValues,,,
recLtffk5clKxpIJg,Cities,tblAb2YQJ4bggKx37,fldPoZDzdVOyenwxk,City_Name,singleLineText,,,
rec54BN08YmcMD23G,Cities,tblAb2YQJ4bggKx37,fldMKhCouP4FeB2Wk,Regions_Linked,multipleRecordLinks,checked,tblKXWbABAC2WoXCn,Regions
recEJh50SHu1qydOn,Cities,tblAb2YQJ4bggKx37,fld6wf3vM9B8npiMH,Schools,multipleRecordLinks,checked,tblTyVLW0R8MxmQ0S,Schools
recjiEosizrAl4wdP,Cities,tblAb2YQJ4bggKx37,fldRN3wOUZc4WPpeU,Survey_City_Item_Results,multipleRecordLinks,checked,tblDtbKXeIFK9FxJF,Survey_City_Item_Results
recNAKvvr613091a1,Cities,tblAb2YQJ4bggKx37,fldwlPEHvdVtrCOXS,Survey_School_Item_Results,multipleRecordLinks,checked,tblwEdi9EQhCsixNd,Survey_School_Item_Results
recNi0TStccOpjTzL,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fld8iOYgrMb11Ekp9,Assessment_Bank,multipleRecordLinks,checked,tblnVEL5zmvEnCag5,Assesment_Banks_Deprecate
recu0b1lF1x4FrVSC,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,fldqivxFrH8jTmQjR,Assessment_ID (from Assessment_Item_Link),multipleLookupValues,,,
recvW5PSMz9ezuFtV,Assessment_Results_Region_Item,tblABodO1pkPkYU5F,flddnAwrY4JbnAvb2,Assessment_Item_Link,multipleRecordLinks,checked,tblqIgPFR3mCHjQRo,Assessment_Items
